Time Interval,Agent 1,Agent 4,Agent 3,Agent 2,Agent 0
0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,53.40598277394257,0.0
3,0.0,0.0,0.0,53.40598277394257,68.34616210148535
4,19.630491271356885,0.0,0.0,53.40598277394257,68.34616210148535
5,19.630491271356885,70.53612565105198,63.46187337883278,37.44708931419457,68.34616210148535
6,19.630491271356885,70.53612565105198,16.900485934985266,37.44708931419457,56.79099551660828
7,47.688201522206036,70.53612565105198,42.55182661392449,102.31649246396769,56.79099551660828
8,47.688201522206036,70.53612565105198,75.01335419895796,93.24087598651107,56.79099551660828
9,109.3783873506224,70.53612565105198,110.36992001518021,93.24087598651107,80.70002586434846
10,100.46061281393848,70.53612565105198,110.36992001518021,93.24087598651107,80.70002586434846
11,100.46061281393848,99.74980024274367,110.36992001518021,113.9238470841646,109.46105048208575
12,91.37693764864804,99.74980024274367,110.36992001518021,110.75749689554311,109.46105048208575
13,128.7248685409295,117.67958022014167,95.96408550299928,110.75749689554311,109.46105048208575
14,128.7248685409295,117.67958022014167,146.9980995329642,85.37682486155003,169.93834763022954
15,106.90322334303296,117.67958022014167,146.9980995329642,141.76391046805207,132.7376381599737
16,145.45279525493507,107.06075738148385,146.9980995329642,117.40945682303712,150.58487222302392
17,145.45279525493507,163.07887921205798,146.9980995329642,126.45817178387095,150.58487222302392
18,133.65599794307815,163.07887921205798,146.9980995329642,178.8582478504211,138.48196645171123
19,177.39309283348945,136.00812028354653,194.33693377155038,178.8582478504211,166.80499399227833
20,177.39309283348945,196.34858196296497,176.63387905001403,172.23816054308867,166.80499399227833
21,177.39309283348945,196.34858196296497,159.10781766193452,172.23816054308867,172.90356279671045
22,165.6948101856227,187.39327876479868,238.23287032622852,180.22332212197716,172.90356279671045
23,165.6948101856227,187.39327876479868,238.23287032622852,180.22332212197716,172.90356279671045
24,228.73831453064582,187.39327876479868,238.23287032622852,193.93397629430837,248.17365800330353
25,187.0653400908601,213.21358273468826,238.23287032622852,224.98116080203863,248.17365800330353
26,208.02461818795797,213.21358273468826,216.93642717371927,210.45037591883096,248.17365800330353
27,223.9246942326675,213.21358273468826,235.77595625197463,197.08477212403702,248.17365800330353
28,223.9246942326675,195.7821387938932,218.92610550701545,169.84542835619746,219.41263338556624
