Time Interval,Agent 1
0,0.0
1,0.0
2,0.0
3,54.83
4,54.83
5,30.44
6,30.44
7,95.47
8,72.95
9,53.85
10,55.03
11,47.11
12,43.83
13,31.69
14,47.11
15,35.98
16,82.92
17,58.45
18,50.45
19,38.22
20,31.08
21,6.32
22,6.32
23,6.32
24,6.32
25,6.32
26,6.32
27,6.32
28,6.32
29,6.32
30,6.32
31,6.32
32,6.32
33,6.32
34,6.32
35,6.32
36,6.32
37,6.32
38,6.32
39,6.32
40,6.32
41,6.32
42,6.32
43,6.32
44,6.32
45,6.32
46,6.32
47,6.32
48,6.32
49,6.32
50,6.32
51,6.32
52,6.32
53,6.32
54,6.32
55,6.32
56,6.32
57,6.32
58,6.32
59,6.32
60,6.32
61,6.32
62,6.32
63,6.32
64,6.32
65,6.32
66,6.32
67,6.32
68,6.32
69,6.32
70,6.32
71,6.32
72,6.32
73,6.32
74,6.32
75,6.32
76,6.32
77,6.32
78,6.32
79,6.32
80,6.32
81,6.32
82,6.32
83,6.32
84,6.32
85,6.32
86,6.32
87,6.32
88,6.32
89,6.32
90,6.32
91,6.32
92,6.32
93,6.32
94,6.32
95,6.32
96,6.32
97,6.32
98,6.32
